"","county_name","party","year","candidate","candidatevotes","totalvotes","percent"
"973","LAPEER","REPUBLICAN",2020,"DONALD J TRUMP",35482,52650,67.3922127255461
"974","LAPORTE","DEMOCRAT",2008,"BARACK OBAMA",28258,46919,60.2272000682026
"975","LARAMIE","REPUBLICAN",2004,"GEORGE W. BUSH",25951,39879,65.0743499084731
"976","LARIMER","DEMOCRAT",2020,"JOSEPH R BIDEN JR",126120,224338,56.2187413634783
"977","LARUE","REPUBLICAN",2020,"DONALD J TRUMP",5685,7301,77.8660457471579
"978","LAS ANIMAS","REPUBLICAN",2016,"DONALD TRUMP",3710,6793,54.6150448991609
"979","LASALLE","REPUBLICAN",2020,"DONALD J TRUMP",30113,53591,56.1904051053349
"980","LASSEN","REPUBLICAN",2020,"DONALD J TRUMP",8970,11987,74.8310669892383
"981","LATAH","REPUBLICAN",2000,"GEORGE W. BUSH",8161,15311,53.3015479067337
"982","LATIMER","REPUBLICAN",2016,"DONALD TRUMP",3100,4056,76.4299802761341
"983","LAUDERDALE","REPUBLICAN",2016,"DONALD TRUMP",50524,77118,65.5151845224202
"984","LAUREL","REPUBLICAN",2016,"DONALD TRUMP",20592,24833,82.9219184150123
"985","LAURENS","REPUBLICAN",2016,"DONALD TRUMP",29227,46096,63.4046338077057
"986","LAVACA","REPUBLICAN",2020,"DONALD J TRUMP",8804,10197,86.3391193488281
"987","LAWRENCE","REPUBLICAN",2016,"DONALD TRUMP",119397,169749,70.3373804853048
"988","LE FLORE","REPUBLICAN",2016,"DONALD TRUMP",13362,17221,77.5913129318855
"989","LE SUEUR","REPUBLICAN",2020,"DONALD J TRUMP",10775,16818,64.0682601974075
"990","LEA","REPUBLICAN",2004,"GEORGE W. BUSH",14430,18181,79.3685715857214
"991","LEAKE","REPUBLICAN",2004,"GEORGE W. BUSH",4926,8173,60.2716260858926
"992","LEAVENWORTH","REPUBLICAN",2020,"DONALD J TRUMP",21610,36490,59.2217045765963
"993","LEBANON","REPUBLICAN",2004,"GEORGE W. BUSH",37089,55665,66.6289409862571
"994","LEE","REPUBLICAN",2004,"GEORGE W. BUSH",245075,409733,59.8133418592108
"995","LEELANAU","REPUBLICAN",2000,"GEORGE W. BUSH",6840,12009,56.9572820384711
"996","LEFLORE","DEMOCRAT",2012,"BARACK OBAMA",9119,12773,71.3927816487904
"997","LEHIGH","DEMOCRAT",2008,"BARACK OBAMA",87089,152464,57.1210252912163
"998","LEMHI","REPUBLICAN",2000,"GEORGE W. BUSH",2859,3641,78.5223839604504
"999","LENAWEE","REPUBLICAN",2020,"DONALD J TRUMP",31541,53375,59.0932084309134
"1000","LENOIR","REPUBLICAN",2004,"GEORGE W. BUSH",12939,23179,55.8220803313344
"1001","LEON","DEMOCRAT",2020,"JOSEPH R BIDEN JR",104589,171603,60.9482351707138
"1002","LESLIE","REPUBLICAN",2020,"DONALD J TRUMP",4321,4811,89.8150072749948
"1003","LETCHER","REPUBLICAN",2016,"DONALD TRUMP",7293,9134,79.8445368951171
"1004","LEVY","REPUBLICAN",2020,"DONALD J TRUMP",16749,23145,72.3655217109527
"1005","LEWIS","REPUBLICAN",2020,"DONALD J TRUMP",58569,83773,69.913934083774
"1006","LEWIS AND CLARK","REPUBLICAN",2000,"GEORGE W. BUSH",15091,27269,55.3412299680956
"1007","LEXINGTON","REPUBLICAN",2004,"GEORGE W. BUSH",68114,95781,71.1143128595442
"1008","LEXINGTON CITY","DEMOCRAT",2020,"JOSEPH R BIDEN JR",1791,8292,21.5991316931983
"1009","LIBERTY","REPUBLICAN",2016,"DONALD TRUMP",28267,44667,63.2838560906262
"1010","LICKING","REPUBLICAN",2020,"DONALD J TRUMP",59514,94210,63.1716378303789
"1011","LIMESTONE","REPUBLICAN",2016,"DONALD TRUMP",34863,48033,72.5813503216539
"1012","LINCOLN","REPUBLICAN",2016,"DONALD TRUMP",194585,297221,65.4681196819875
"1013","LINN","DEMOCRAT",2008,"BARACK OBAMA",94263,175885,53.5935412343292
"1014","LIPSCOMB","REPUBLICAN",2012,"MITT ROMNEY",1044,1168,89.3835616438356
"1015","LITCHFIELD","REPUBLICAN",2016,"DONALD TRUMP",53051,97442,54.4436690544119
"1016","LITTLE RIVER","REPUBLICAN",2016,"DONALD TRUMP",3605,5227,68.9688157643008
"1017","LIVE OAK","REPUBLICAN",2020,"DONALD J TRUMP",4199,5054,83.0827067669173
"1018","LIVINGSTON","REPUBLICAN",2016,"DONALD TRUMP",150451,219962,68.3986324910666
"1019","LLANO","REPUBLICAN",2012,"MITT ROMNEY",7610,9558,79.6191671897887
"1020","LOGAN","REPUBLICAN",2016,"DONALD TRUMP",70894,96729,73.2913603986395
"1021","LONG","REPUBLICAN",2004,"GEORGE W. BUSH",1994,3036,65.6785243741765
"1022","LONOKE","REPUBLICAN",2012,"MITT ROMNEY",17880,24114,74.1477979596915
"1023","LORAIN","DEMOCRAT",2008,"BARACK OBAMA",85276,146859,58.0665808700863
"1024","LOS ALAMOS","DEMOCRAT",2020,"JOSEPH R BIDEN JR",7554,12293,61.4496054665257
"1025","LOS ANGELES","DEMOCRAT",2016,"HILLARY CLINTON",2464364,3434308,71.7572215421564
"1026","LOUDON","REPUBLICAN",2012,"MITT ROMNEY",16707,22073,75.6897567163503
"1027","LOUDOUN","REPUBLICAN",2000,"GEORGE W. BUSH",42453,75653,56.1154217281535
"1028","LOUISA","REPUBLICAN",2016,"DONALD TRUMP",13597,22639,60.0600733247935
"1029","LOUP","REPUBLICAN",2016,"DONALD TRUMP",323,385,83.8961038961039
"1030","LOVE","REPUBLICAN",2016,"DONALD TRUMP",2922,3789,77.1179730799683
"1031","LOVING","REPUBLICAN",2020,"DONALD J TRUMP",60,66,90.9090909090909
"1032","LOWNDES","REPUBLICAN",2004,"GEORGE W. BUSH",33409,58391,57.2160093165043
"1033","LUBBOCK","REPUBLICAN",2004,"GEORGE W. BUSH",70135,93151,75.2917306309111
"1034","LUCAS","DEMOCRAT",2012,"BARACK OBAMA",138603,214541,64.6044345835994
"1035","LUCE","REPUBLICAN",2020,"DONALD J TRUMP",2109,3001,70.276574475175
"1036","LUMPKIN","REPUBLICAN",2012,"MITT ROMNEY",8647,10905,79.2939018798716
"1037","LUNA","REPUBLICAN",2004,"GEORGE W. BUSH",4164,7593,54.83998419597
"1038","LUNENBURG","REPUBLICAN",2016,"DONALD TRUMP",3204,5586,57.3576799140709
"1039","LUZERNE","REPUBLICAN",2016,"DONALD TRUMP",78688,134983,58.2947482275546
